Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Product,Customer
Test Jira issue summary 3531,PROJ-912,912,Story,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Won't Fix,Assignee_141,2994,Reporter_230,3918,Creator_11,4661,2023-09-03,2023-07-24,2023-12-03,2023-12-14,FNC,India01
Test Jira issue summary 5257,PROJ-913,913,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Duplicate,Assignee_295,2775,Reporter_4,3615,Creator_19,4273,2024-12-25,2023-10-07,2023-11-13,2024-10-03,FNA,Romeo02
Test Jira issue summary 2636,PROJ-914,914,Story,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Won't Fix,Assignee_162,2127,Reporter_78,3276,Creator_190,4440,2025-01-07,2024-12-19,2023-09-23,2023-01-08,FNA,Lima04
Test Jira issue summary 8163,PROJ-915,915,Task,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Incomplete,Assignee_147,2262,Reporter_152,3668,Creator_72,4085,2024-01-07,2024-05-04,2024-04-23,2024-08-28,FNB,Uniform01
Test Jira issue summary 9763,PROJ-916,916,Bug,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Unresolved,Assignee_256,2788,Reporter_116,3187,Creator_299,4594,2023-03-14,2023-11-26,2025-01-31,2025-02-13,FNB,Juliet01
Test Jira issue summary 2561,PROJ-917,917,Bug,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Won't Fix,Assignee_91,2034,Reporter_36,3685,Creator_75,4545,2025-05-10,2025-03-07,2023-07-06,2023-05-17,FNB,Tango01
Test Jira issue summary 5416,PROJ-918,918,Bug,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Duplicate,Assignee_218,2486,Reporter_291,3099,Creator_137,4456,2025-04-11,2024-05-01,2025-04-22,2024-01-29,FNC,Foxtrot02
Test Jira issue summary 3392,PROJ-919,919,Epic,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Duplicate,Assignee_139,2100,Reporter_285,3521,Creator_238,4329,2025-05-26,2023-04-10,2024-09-17,2023-08-22,FNA,Mike02
Test Jira issue summary 5952,PROJ-920,920,Story,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Unresolved,Assignee_177,2736,Reporter_36,3083,Creator_281,4082,2024-09-26,2024-06-20,2024-02-16,2024-09-03,FNA,Echo03
Test Jira issue summary 5469,PROJ-921,921,Epic,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Duplicate,Assignee_291,2740,Reporter_55,3052,Creator_287,4613,2024-11-24,2023-02-19,2025-04-25,2025-03-08,FNB,Golf04
Test Jira issue summary 8008,PROJ-922,922,Bug,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Unresolved,Assignee_76,2610,Reporter_49,3126,Creator_141,4520,2023-03-18,2024-10-30,2023-11-13,2025-06-18,FNC,Papa04
Test Jira issue summary 9065,PROJ-923,923,Story,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Incomplete,Assignee_57,2081,Reporter_55,3646,Creator_158,4818,2024-04-20,2025-02-17,2024-03-01,2023-04-10,FNB,Oscar02
Test Jira issue summary 9445,PROJ-924,924,Story,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Unresolved,Assignee_28,2316,Reporter_260,3285,Creator_201,4539,2024-03-15,2023-12-03,2024-07-02,2023-01-01,FNA,Golf01
Test Jira issue summary 6414,PROJ-925,925,Task,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Fixed,Assignee_150,2978,Reporter_130,3860,Creator_29,4221,2025-01-08,2024-04-11,2024-10-16,2024-04-21,FNA,Romeo04
Test Jira issue summary 6942,PROJ-926,926,Epic,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Duplicate,Assignee_199,2329,Reporter_88,3054,Creator_95,4792,2024-12-02,2024-09-11,2023-01-19,2023-05-29,FNA,Oscar02
Test Jira issue summary 9507,PROJ-927,927,Epic,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Duplicate,Assignee_164,2195,Reporter_270,3755,Creator_274,4209,2023-11-09,2024-09-22,2025-02-27,2024-07-13,FNA,Hotel04
Test Jira issue summary 4821,PROJ-928,928,Task,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_182,2413,Reporter_126,3576,Creator_131,4435,2025-06-01,2023-05-02,2025-07-05,2023-08-17,FNB,Lima03
Test Jira issue summary 2899,PROJ-929,929,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Fixed,Assignee_240,2876,Reporter_185,3020,Creator_247,4537,2024-06-26,2023-10-12,2023-08-25,2025-07-29,FNB,Sierra03
Test Jira issue summary 7547,PROJ-930,930,Bug,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Won't Fix,Assignee_242,2508,Reporter_30,3774,Creator_35,4146,2025-01-09,2025-07-17,2023-01-18,2025-07-30,FNB,Juliet02
Test Jira issue summary 78,PROJ-931,931,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Unresolved,Assignee_66,2480,Reporter_208,3299,Creator_132,4218,2024-11-27,2023-08-14,2024-08-19,2024-10-31,FNC,Echo02
Test Jira issue summary 7578,PROJ-932,932,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Incomplete,Assignee_171,2067,Reporter_8,3835,Creator_297,4867,2024-08-10,2024-03-29,2023-07-27,2023-03-15,FNA,Golf03
Test Jira issue summary 4228,PROJ-933,933,Task,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Duplicate,Assignee_133,2392,Reporter_142,3358,Creator_114,4067,2024-03-10,2024-07-30,2023-12-21,2023-04-30,FNB,Juliet01
Test Jira issue summary 601,PROJ-934,934,Story,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Incomplete,Assignee_81,2272,Reporter_212,3759,Creator_90,4304,2024-04-23,2025-01-06,2025-02-04,2023-09-20,FNB,Kilo02
Test Jira issue summary 1066,PROJ-935,935,Epic,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Unresolved,Assignee_165,2298,Reporter_284,3142,Creator_223,4025,2024-04-27,2025-01-02,2024-01-19,2023-08-23,FNA,India04
Test Jira issue summary 2137,PROJ-936,936,Story,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Unresolved,Assignee_63,2870,Reporter_132,3609,Creator_286,4812,2025-06-02,2024-08-04,2024-06-07,2025-06-28,FNB,India02
Test Jira issue summary 9511,PROJ-937,937,Task,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_51,2855,Reporter_102,3001,Creator_87,4322,2025-04-16,2024-06-24,2024-11-29,2024-03-26,FNC,Delta03
Test Jira issue summary 6944,PROJ-938,938,Story,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Won't Fix,Assignee_72,2952,Reporter_283,3356,Creator_222,4628,2025-06-12,2023-01-02,2025-03-24,2025-05-08,FNA,Papa01
Test Jira issue summary 7805,PROJ-939,939,Task,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Duplicate,Assignee_43,2870,Reporter_75,3642,Creator_267,4099,2023-06-25,2023-02-06,2023-12-19,2023-06-24,FNB,Tango01
Test Jira issue summary 6566,PROJ-940,940,Task,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Duplicate,Assignee_216,2140,Reporter_100,3687,Creator_33,4646,2024-08-31,2023-07-14,2024-06-02,2025-05-23,FNC,Golf03
Test Jira issue summary 5985,PROJ-941,941,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Incomplete,Assignee_191,2184,Reporter_232,3451,Creator_294,4777,2025-01-29,2025-03-26,2025-06-04,2023-05-22,FNB,Echo03
Test Jira issue summary 5143,PROJ-942,942,Bug,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_158,2665,Reporter_291,3046,Creator_238,4492,2023-12-10,2023-10-14,2023-02-16,2023-01-17,FNA,Yankee04
Test Jira issue summary 4671,PROJ-943,943,Task,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Unresolved,Assignee_90,2188,Reporter_236,3752,Creator_5,4707,2023-04-25,2023-10-28,2023-05-05,2024-07-08,FNA,Tango01
Test Jira issue summary 2191,PROJ-944,944,Epic,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Fixed,Assignee_104,2573,Reporter_269,3426,Creator_187,4902,2024-03-25,2023-11-16,2024-06-21,2024-05-27,FNA,Bravo03
Test Jira issue summary 9185,PROJ-945,945,Bug,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Duplicate,Assignee_51,2018,Reporter_55,3867,Creator_248,4661,2025-07-16,2025-06-01,2023-01-06,2024-04-26,FNC,Papa01
Test Jira issue summary 2713,PROJ-946,946,Task,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_254,2080,Reporter_254,3538,Creator_99,4253,2023-02-07,2023-10-24,2025-01-30,2024-10-21,FNA,Alpha01
Test Jira issue summary 2193,PROJ-947,947,Story,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Incomplete,Assignee_107,2497,Reporter_215,3899,Creator_51,4989,2023-06-30,2024-04-13,2023-11-16,2024-02-16,FNA,Foxtrot01
Test Jira issue summary 1249,PROJ-948,948,Story,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Unresolved,Assignee_294,2541,Reporter_299,3547,Creator_65,4469,2024-04-10,2025-07-16,2024-03-18,2023-11-17,FNC,Delta04
Test Jira issue summary 4034,PROJ-949,949,Epic,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Unresolved,Assignee_236,2638,Reporter_299,3850,Creator_196,4820,2025-05-27,2024-08-04,2023-06-07,2023-01-28,FNC,Mike01
Test Jira issue summary 1998,PROJ-950,950,Story,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Unresolved,Assignee_105,2217,Reporter_296,3865,Creator_58,4028,2025-04-08,2023-12-26,2023-09-21,2024-11-25,FNA,Hotel01
Test Jira issue summary 3688,PROJ-951,951,Story,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_255,2524,Reporter_159,3847,Creator_176,4906,2023-08-10,2023-05-13,2023-06-20,2023-01-24,FNC,Victor04
Test Jira issue summary 4019,PROJ-952,952,Task,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Duplicate,Assignee_20,2688,Reporter_259,3691,Creator_186,4126,2023-10-09,2025-04-01,2025-06-12,2023-02-27,FNC,Uniform03
Test Jira issue summary 1971,PROJ-953,953,Story,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Duplicate,Assignee_72,2337,Reporter_228,3940,Creator_165,4190,2023-09-26,2024-08-05,2025-03-25,2023-05-24,FNB,Whiskey03
Test Jira issue summary 8390,PROJ-954,954,Story,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_117,2120,Reporter_145,3487,Creator_135,4975,2024-03-30,2023-11-18,2025-01-26,2023-05-26,FNB,Lima03
Test Jira issue summary 5766,PROJ-955,955,Story,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Fixed,Assignee_130,2468,Reporter_80,3562,Creator_60,4700,2024-09-11,2023-05-13,2025-02-21,2023-01-20,FNA,Alpha01
Test Jira issue summary 1203,PROJ-956,956,Story,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Duplicate,Assignee_120,2371,Reporter_39,3341,Creator_289,4823,2023-11-13,2025-07-17,2025-07-23,2024-05-14,FNB,Whiskey03
Test Jira issue summary 8136,PROJ-957,957,Task,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Unresolved,Assignee_213,2481,Reporter_194,3671,Creator_179,4120,2025-01-24,2023-02-18,2025-04-12,2025-07-07,FNA,Delta02
Test Jira issue summary 5568,PROJ-958,958,Story,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Won't Fix,Assignee_229,2178,Reporter_197,3769,Creator_123,4235,2023-03-14,2023-07-20,2023-08-09,2025-04-04,FNC,Sierra03
Test Jira issue summary 7668,PROJ-959,959,Epic,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Duplicate,Assignee_183,2110,Reporter_97,3528,Creator_294,4824,2025-06-06,2024-02-26,2023-04-17,2023-03-15,FNB,Victor03
Test Jira issue summary 5743,PROJ-960,960,Bug,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Won't Fix,Assignee_134,2008,Reporter_246,3278,Creator_244,4901,2025-01-07,2024-09-21,2023-12-11,2024-04-21,FNC,Lima03
Test Jira issue summary 5789,PROJ-961,961,Epic,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Incomplete,Assignee_231,2221,Reporter_76,3171,Creator_282,4036,2024-05-03,2023-08-05,2024-03-08,2024-06-26,FNB,Oscar04
Test Jira issue summary 5409,PROJ-962,962,Bug,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Unresolved,Assignee_246,2796,Reporter_253,3301,Creator_298,4268,2024-11-11,2025-04-24,2023-05-03,2023-01-09,FNB,Uniform04
Test Jira issue summary 8670,PROJ-963,963,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Incomplete,Assignee_252,2860,Reporter_278,3395,Creator_77,4224,2024-09-27,2023-11-29,2024-10-01,2023-08-29,FNB,Golf02
Test Jira issue summary 9447,PROJ-964,964,Bug,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Duplicate,Assignee_225,2621,Reporter_8,3565,Creator_87,4046,2024-11-06,2024-12-01,2025-06-12,2023-09-10,FNC,Echo02
Test Jira issue summary 923,PROJ-965,965,Bug,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Fixed,Assignee_157,2978,Reporter_199,3524,Creator_80,4498,2025-05-16,2024-08-29,2023-10-26,2025-05-02,FNB,India04
Test Jira issue summary 420,PROJ-966,966,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Duplicate,Assignee_119,2647,Reporter_252,3713,Creator_85,4455,2024-04-07,2023-12-20,2024-06-10,2024-03-24,FNB,Xray02
Test Jira issue summary 2205,PROJ-967,967,Bug,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Incomplete,Assignee_94,2107,Reporter_18,3963,Creator_274,4842,2025-02-19,2023-07-02,2024-11-29,2023-04-18,FNB,November01
Test Jira issue summary 1121,PROJ-968,968,Task,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_228,2336,Reporter_242,3326,Creator_265,4480,2023-09-19,2024-07-30,2024-02-28,2025-06-08,FNC,Quebec04
Test Jira issue summary 951,PROJ-969,969,Epic,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Duplicate,Assignee_186,2203,Reporter_253,3757,Creator_111,4703,2024-04-13,2024-12-05,2025-01-19,2023-02-20,FNA,Uniform03
Test Jira issue summary 2337,PROJ-970,970,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Fixed,Assignee_185,2526,Reporter_4,3449,Creator_273,4352,2025-01-10,2024-07-14,2023-10-22,2024-05-09,FNB,Papa02
Test Jira issue summary 5374,PROJ-971,971,Epic,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Incomplete,Assignee_280,2452,Reporter_237,3782,Creator_105,4939,2023-08-05,2024-06-25,2024-04-05,2024-03-23,FNB,Romeo01
Test Jira issue summary 2244,PROJ-972,972,Story,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Duplicate,Assignee_230,2673,Reporter_179,3739,Creator_265,4431,2023-03-17,2024-12-09,2023-09-27,2024-03-13,FNB,Quebec02
Test Jira issue summary 2646,PROJ-973,973,Bug,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Incomplete,Assignee_265,2947,Reporter_12,3061,Creator_164,4487,2023-06-28,2025-04-04,2024-11-27,2024-02-18,FNA,Charlie02
Test Jira issue summary 4613,PROJ-974,974,Epic,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Incomplete,Assignee_158,2945,Reporter_293,3200,Creator_136,4602,2025-02-14,2024-03-30,2024-10-17,2024-08-22,FNA,Oscar02
Test Jira issue summary 1866,PROJ-975,975,Task,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Unresolved,Assignee_77,2194,Reporter_258,3663,Creator_190,4493,2024-03-31,2023-09-10,2025-07-26,2023-07-23,FNC,Mike01
Test Jira issue summary 6029,PROJ-976,976,Epic,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Won't Fix,Assignee_82,2260,Reporter_259,3069,Creator_252,4870,2023-10-17,2024-06-19,2023-09-07,2025-06-06,FNB,November03
Test Jira issue summary 7327,PROJ-977,977,Bug,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Unresolved,Assignee_181,2865,Reporter_85,3700,Creator_214,4657,2025-03-09,2025-07-19,2024-08-13,2024-02-07,FNA,Kilo03
Test Jira issue summary 6372,PROJ-978,978,Story,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Incomplete,Assignee_196,2008,Reporter_295,3496,Creator_122,4117,2023-01-18,2023-10-25,2024-08-15,2024-01-28,FNC,Sierra03
Test Jira issue summary 6360,PROJ-979,979,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Fixed,Assignee_60,2215,Reporter_112,3838,Creator_218,4172,2025-01-03,2024-07-26,2023-12-30,2023-01-11,FNA,Mike03
Test Jira issue summary 7864,PROJ-980,980,Story,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Fixed,Assignee_151,2772,Reporter_206,3207,Creator_170,4927,2023-05-24,2025-01-02,2023-12-04,2024-09-09,FNB,Foxtrot02
Test Jira issue summary 3229,PROJ-981,981,Task,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Unresolved,Assignee_61,2922,Reporter_222,3464,Creator_258,4236,2025-07-15,2024-08-13,2025-02-01,2025-04-16,FNA,Kilo03
Test Jira issue summary 3720,PROJ-982,982,Epic,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Fixed,Assignee_135,2112,Reporter_18,3477,Creator_159,4744,2024-07-09,2023-02-13,2023-06-30,2023-04-04,FNA,Bravo04
Test Jira issue summary 2372,PROJ-983,983,Epic,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Incomplete,Assignee_39,2628,Reporter_13,3455,Creator_76,4023,2025-02-24,2025-01-13,2025-03-30,2024-02-19,FNA,Alpha03
Test Jira issue summary 2892,PROJ-984,984,Task,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Duplicate,Assignee_253,2339,Reporter_270,3130,Creator_275,4085,2024-04-02,2025-05-04,2024-05-06,2025-05-02,FNB,Kilo01
Test Jira issue summary 3757,PROJ-985,985,Task,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Incomplete,Assignee_106,2046,Reporter_41,3472,Creator_121,4945,2023-05-17,2025-03-15,2024-10-09,2024-07-15,FNA,November01
Test Jira issue summary 4226,PROJ-986,986,Task,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Duplicate,Assignee_233,2829,Reporter_40,3668,Creator_240,4570,2025-06-22,2024-10-11,2024-03-14,2024-09-24,FNB,Juliet04
Test Jira issue summary 95,PROJ-987,987,Bug,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Fixed,Assignee_170,2812,Reporter_89,3276,Creator_65,4766,2024-04-04,2023-07-01,2024-04-22,2025-05-25,FNC,Oscar02
Test Jira issue summary 2675,PROJ-988,988,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_217,2488,Reporter_101,3053,Creator_188,4258,2024-03-19,2023-05-01,2024-04-12,2025-05-10,FNB,Echo02
Test Jira issue summary 6899,PROJ-989,989,Epic,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Won't Fix,Assignee_14,2321,Reporter_219,3755,Creator_98,4066,2023-02-13,2024-08-17,2024-06-05,2023-11-20,FNB,Mike02
Test Jira issue summary 794,PROJ-990,990,Epic,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Incomplete,Assignee_16,2790,Reporter_215,3389,Creator_272,4013,2024-09-02,2023-06-09,2024-01-06,2025-05-05,FNB,Victor02
Test Jira issue summary 2117,PROJ-991,991,Epic,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Incomplete,Assignee_219,2097,Reporter_10,3888,Creator_105,4095,2023-10-20,2023-02-27,2023-11-25,2025-06-16,FNB,Charlie03
Test Jira issue summary 5780,PROJ-992,992,Story,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Fixed,Assignee_169,2444,Reporter_217,3214,Creator_135,4456,2023-10-11,2023-09-16,2024-12-26,2023-11-01,FNB,Quebec02
Test Jira issue summary 6167,PROJ-993,993,Task,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_14,2092,Reporter_121,3010,Creator_196,4783,2023-10-14,2025-07-18,2024-01-27,2023-09-17,FNA,Foxtrot02
Test Jira issue summary 815,PROJ-994,994,Epic,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Won't Fix,Assignee_243,2810,Reporter_163,3453,Creator_231,4216,2024-02-12,2023-09-16,2023-12-09,2023-07-24,FNC,Papa03
Test Jira issue summary 346,PROJ-995,995,Task,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Incomplete,Assignee_8,2251,Reporter_152,3410,Creator_202,4708,2025-01-07,2023-06-06,2023-02-20,2024-10-02,FNB,Tango03
Test Jira issue summary 8555,PROJ-996,996,Bug,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Won't Fix,Assignee_283,2162,Reporter_84,3730,Creator_92,4189,2023-06-05,2023-12-01,2023-11-23,2023-04-29,FNB,Bravo04
Test Jira issue summary 2444,PROJ-997,997,Task,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Incomplete,Assignee_111,2157,Reporter_202,3716,Creator_47,4460,2023-02-02,2024-04-14,2023-07-19,2023-02-20,FNC,Uniform03
Test Jira issue summary 7784,PROJ-998,998,Story,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Unresolved,Assignee_40,2578,Reporter_50,3892,Creator_11,4698,2023-09-02,2024-09-24,2023-03-11,2025-01-09,FNB,Sierra01
Test Jira issue summary 985,PROJ-999,999,Story,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Won't Fix,Assignee_68,2137,Reporter_149,3955,Creator_162,4350,2024-10-24,2023-12-10,2024-12-22,2023-09-28,FNA,Romeo01
Test Jira issue summary 7791,PROJ-1000,1000,Task,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Duplicate,Assignee_123,2383,Reporter_220,3712,Creator_51,4148,2024-12-28,2024-01-06,2024-04-04,2023-12-30,FNC,Romeo04
Test Jira issue summary 9832,PROJ-1001,1001,Story,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_166,2311,Reporter_155,3583,Creator_5,4423,2025-05-07,2024-03-30,2024-11-15,2023-02-18,FNA,Yankee01
Test Jira issue summary 828,PROJ-1002,1002,Story,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Incomplete,Assignee_203,2289,Reporter_97,3108,Creator_287,4828,2023-09-24,2024-01-04,2024-02-09,2024-03-12,FNC,Delta03
Test Jira issue summary 3532,PROJ-1003,1003,Bug,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_128,2064,Reporter_99,3026,Creator_85,4050,2023-03-14,2023-12-14,2023-04-28,2024-12-29,FNA,Delta03
Test Jira issue summary 7148,PROJ-1004,1004,Epic,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Won't Fix,Assignee_152,2773,Reporter_186,3415,Creator_296,4712,2025-04-22,2024-03-28,2023-07-26,2025-07-24,FNC,Bravo03
Test Jira issue summary 4452,PROJ-1005,1005,Story,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Incomplete,Assignee_146,2197,Reporter_134,3348,Creator_266,4084,2025-04-06,2025-01-02,2023-01-09,2024-03-23,FNC,Victor01
Test Jira issue summary 3877,PROJ-1006,1006,Epic,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Duplicate,Assignee_49,2682,Reporter_147,3288,Creator_230,4200,2024-01-22,2023-07-19,2023-11-02,2025-06-18,FNA,Golf02
